American Forces Network,https://www.lyngsat.com/NSS-9.html
American Forces Network,https://www.lyngsat.com/Intelsat-18.html
Anuvu,https://www.lyngsat.com/Intelsat-18.html
France TV,https://www.lyngsat.com/Intelsat-18.html
Walesi,https://www.lyngsat.com/Eutelsat-172B.html
ABC NT,https://www.lyngsat.com/Eutelsat-172B.html
ABC WA,https://www.lyngsat.com/Eutelsat-172B.html
ABC Queensland,https://www.lyngsat.com/Eutelsat-172B.html
SBS WA,https://www.lyngsat.com/Eutelsat-172B.html
SBS Queensland,https://www.lyngsat.com/Eutelsat-172B.html
MySat,https://www.lyngsat.com/Horizons-3e.html
Warner Bros. Discovery,https://www.lyngsat.com/Intelsat-19.html
Paramount International Networks,https://www.lyngsat.com/Intelsat-19.html
ABS-CBN,https://www.lyngsat.com/Intelsat-19.html
China Radio International,https://www.lyngsat.com/Intelsat-19.html
Warner Bros. Discovery,https://www.lyngsat.com/Intelsat-19.html
Warner Bros. Discovery,https://www.lyngsat.com/Intelsat-19.html
Intelsat,https://www.lyngsat.com/Intelsat-19.html
Warner Bros. Discovery,https://www.lyngsat.com/Intelsat-19.html
NHK World Network,https://www.lyngsat.com/Intelsat-19.html
Pasifika TV,https://www.lyngsat.com/Intelsat-19.html
BBC World Service,https://www.lyngsat.com/Intelsat-19.html
ABS-CBN,https://www.lyngsat.com/Intelsat-19.html
Nine Entertainment,https://www.lyngsat.com/Intelsat-19.html
Nine Entertainment,https://www.lyngsat.com/Intelsat-19.html
Nine Entertainment,https://www.lyngsat.com/Intelsat-19.html
Nine Entertainment,https://www.lyngsat.com/Intelsat-19.html
EXRN Radio Network,https://www.lyngsat.com/Intelsat-19.html
Telstra Broadcast Services,https://www.lyngsat.com/Intelsat-19.html
ABC Sydney,https://www.lyngsat.com/Optus-D2.html
ABC Melbourne,https://www.lyngsat.com/Optus-D2.html
Freeview,https://www.lyngsat.com/Optus-D2.html
ABC NSW,https://www.lyngsat.com/Optus-D2.html
ABC SA,https://www.lyngsat.com/Optus-D2.html
ABC NT,https://www.lyngsat.com/Optus-D2.html
ABC WA,https://www.lyngsat.com/Optus-D2.html
ABC Victoria,https://www.lyngsat.com/Optus-D2.html
ABC Queensland,https://www.lyngsat.com/Optus-D2.html
Freeview,https://www.lyngsat.com/Optus-D2.html
SBS Victoria,https://www.lyngsat.com/Optus-D2.html
SBS WA,https://www.lyngsat.com/Optus-D2.html
SBS Tasmania,https://www.lyngsat.com/Optus-D2.html
SBS NSW,https://www.lyngsat.com/Optus-D2.html
SBS Queensland,https://www.lyngsat.com/Optus-D2.html
SBS SA,https://www.lyngsat.com/Optus-D2.html
ABC NSW,https://www.lyngsat.com/Optus-D2.html
ABC SA,https://www.lyngsat.com/Optus-D2.html
ABC NT,https://www.lyngsat.com/Optus-D2.html
ABC WA,https://www.lyngsat.com/Optus-D2.html
ABC Victoria,https://www.lyngsat.com/Optus-D2.html
ABC Queensland,https://www.lyngsat.com/Optus-D2.html
Bricast,https://www.lyngsat.com/BRIsat.html
Bricast,https://www.lyngsat.com/BRIsat.html
PSN,https://www.lyngsat.com/Nusantara-Satu.html
RTRS 1,https://www.lyngsat.com/Express-AMU7.html
RTRS,https://www.lyngsat.com/Express-AMU7.html
RTRS 1,https://www.lyngsat.com/Express-AMU7.html
RTRS,https://www.lyngsat.com/Express-AMU7.html
RTRS 2,https://www.lyngsat.com/Express-AMU7.html
Arktik Telekom,https://www.lyngsat.com/Express-AM5.html
GMA Network,https://www.lyngsat.com/Telstar-18-Vantage.html
GMA Network,https://www.lyngsat.com/Telstar-18-Vantage.html
Solar Entertainment,https://www.lyngsat.com/Telstar-18-Vantage.html
GMA Network,https://www.lyngsat.com/Telstar-18-Vantage.html
Solar Entertainment,https://www.lyngsat.com/Telstar-18-Vantage.html
Zoe Broadcasting Network,https://www.lyngsat.com/Telstar-18-Vantage.html
Viva Entertainment,https://www.lyngsat.com/Telstar-18-Vantage.html
People's TV,https://www.lyngsat.com/Telstar-18-Vantage.html
SpeedCast,https://www.lyngsat.com/Telstar-18-Vantage.html
TV 5 Network,https://www.lyngsat.com/Telstar-18-Vantage.html
Great Wall,https://www.lyngsat.com/Telstar-18-Vantage.html
APT,https://www.lyngsat.com/Telstar-18-Vantage.html
VTV,https://www.lyngsat.com/Apstar-6C.html
CCTV,https://www.lyngsat.com/Apstar-6C.html
CCTV,https://www.lyngsat.com/Apstar-6C.html
CCTV,https://www.lyngsat.com/Apstar-6C.html
China National Radio,https://www.lyngsat.com/Apstar-6C.html
CEN TV,https://www.lyngsat.com/Apstar-6C.html
HTVC,https://www.lyngsat.com/Vinasat-2.html
MWD Digital TV,https://www.lyngsat.com/LaoSat-1.html
LaoSat,https://www.lyngsat.com/LaoSat-1.html
