CGTN,SES 5,Sub Saharan Africa0,11938 V,DVB-S2QPSK,27500,4-Mar,MPEG-4SD,Eng,Conax
CGTN,SES 5,Sub Saharan Africa0,12034 H,DVB-S,27500,4-Mar,MPEG-2SD,Eng,
CGTN,Thor 5,T244-48,12418 V,DVB-S,28000,8-Jul,MPEG-4HD 1080,Eng,
CGTN,Amos 3,Middle East52-55,10722 V,DVB-S,27500,6-May,MPEG-2SD,Eng,Videoguard
CGTN,Nilesat 201,Middle East48,12015 V,DVB-S,27500,6-May,MPEG-2SD,Eng,
CGTN,Sky Brasil 1,,10882 V,DVB-S,30000,4-Mar,MPEG-2SD,Por,NagravisionVideoguard
CGTN,Intelsat 34,Americas & Europe0,4175 H,DVB-S28PSK,30000,4-Mar,MPEG-4HD 1080,Eng,
CGTN,Intelsat 21,West hemi0,3840 H,DVB-S,27690,8-Jul,MPEG-2SD,Eng,
CGTN,Galaxy 19,Ku0,12084 V,DVB-S,20760,4-Mar,MPEG-2SD,Eng,
CGTN,SES 1,North America Ku0,12000 V,DVB-S,20000,2-Jan,MPEG-4HD 1080,Eng,
CGTN Documentary,Optus D2,NZB,12734 H,DVB-S28PSK,22500,4-Mar,MPEG-4SD,Eng,Videoguard
CGTN Documentary,Optus D3,Australia0,11845 V,DVB-S,27800,4-Mar,MPEG-2SD,Eng,IrdetoVideoguard
CGTN Documentary,Telstar 18 Vantage,China0,12721 V,DVB-S28PSK,43200,3-Feb,MPEG-4SD,Eng,
CGTN Documentary,ChinaSat 6E,,3770 H,DVB-S28PSK,12360,5-Mar,MPEG-4HD,Eng,
CGTN Documentary,ChinaSat 6E,,4116 H,DVB-S,21374,4-Mar,MPEG-2SD,Eng,
CGTN Documentary,SES 7,Indonesia0,2625 V,DVB-S28PSK,22500,4-Mar,MPEG-4SD,Eng,NagravisionVideoguard
CGTN Documentary,SES 7,NE Asia0,11598 H,DVB-S28PSK,20000,3-Feb,MPEG-4SD,Eng,ConaxVideoguard
CGTN Documentary,Measat 3b,Indonesia,12643 V,DVB-S28PSK,30000,5-Mar,MPEG-4SD,Eng,IrdetoStreamGuard
CGTN Documentary,Apstar 7,SSB0,10973 V,DVB-S2QPSK,24500,3-Feb,MPEG-4SD,Eng,StreamGuardTongfang
CGTN Documentary,ABS 2A,SE Asia 1,12290 V,DVB-S28PSK,44000,4-Mar,MPEG-4SD,Eng,ABVNeotion SHL
CGTN Documentary,Amos 4,Nepal0,10860 V,DVB-S2QPSK,45000,2-Jan,MPEG-4HD,Eng,ConaxLatensVerimatrix
CGTN Documentary,Türksat 5B,West0,11305 V,DVB-S28PSK,30000,4-Mar,MPEG-4HD 1080,Eng,
CGTN Documentary,Eutelsat 36B,Sub-Sahara Africa0,12034 V,DVB-S,27500,4-Mar,MPEG-2SD,Eng,Irdeto
CGTN Documentary,Astra 1N,Pan Europe0,12522 V,DVB-S28PSK,22000,3-Feb,MPEG-4HD 1080,Eng,
CGTN Documentary,Hotbird 13G,Wide44-46,11585 V,DVB-S28PSK,27500,6-May,MPEG-4HD 1080,Eng,
CGTN Documentary,Eutelsat 9B,Wide45-49,11996 V,DVB-S,27500,4-Mar,MPEG-2SD,Eng,
CGTN Documentary,SES 5,Sub Saharan Africa0,11938 V,DVB-S2QPSK,27500,4-Mar,MPEG-4SD,Eng,Conax
CGTN Documentary,SES 5,Sub Saharan Africa0,12034 H,DVB-S,27500,4-Mar,MPEG-2SD,Eng,
CGTN Documentary,Thor 5,T244-48,12418 V,DVB-S,28000,8-Jul,MPEG-4HD 1080,Eng,
CGTN Documentary,Amos 3,Middle East52-55,10758 V,DVB-S,27500,6-May,MPEG-2SD,Eng,Videoguard
CGTN Documentary,Intelsat 34,Americas & Europe0,4175 H,DVB-S28PSK,30000,4-Mar,MPEG-4HD 1080,Eng,
CGTN Documentary,Intelsat 21,West hemi0,3840 H,DVB-S,27690,8-Jul,MPEG-2SD,Eng,
CGTN Documentary,Galaxy 19,Ku0,12084 V,DVB-S,20760,4-Mar,MPEG-2SD,Eng,
VTV Gujarati,G-Sat 15,India,11630 V,DVB-S28PSK,30000,5-Mar,MPEG-4SD,Guj,
VTV Gujarati,ST 2,India Continent0,11546 V,DVB-S28PSK,44995,4-Mar,MPEG-4SD,Guj,Verimatrix (B)ConaxIrdetoVideoguard
VTV Gujarati,G-Sat 30,Ku,11050 H,DVB-S28PSK,32720,4-Mar,MPEG-4SD,Guj,IrdetoVideoguard
VTV Gujarati,Intelsat 20,Landmass37.1-39.1,4090 H,DVB-S28PSK,14368,4-Mar,MPEG-4SD,Guj,
CCTV 6,Intelsat 18,Global,4095 R,DVB-S2QPSK,30000,4-Mar,MPEG-4SD,Chi,PowerVu
CCTV 6,Telstar 18 Vantage,China0,12721 V,DVB-S28PSK,43200,3-Feb,MPEG-4SD,Chi,
CCTV 6,LaoSat 1,Ku0,10730 V,DVB-S2QPSK,40000,5-Apr,MPEG-4SD,Chi,StreamGuardTopwellUnitend
CCTV 6,LaoSat 1,Ku0,10850 V,DVB-S2QPSK,45000,5-Apr,MPEG-4SD,Chi,StreamGuardTopwellUnitend
CCTV 6,ChinaSat 6E,,3780 V,DVB-S28PSK,32300,4-Mar,MPEG-2SD,Chi,Tongfang
CCTV 6,ChinaSat 6E,,3880 H,DVB-S,27500,4-Mar,MPEG-2SD,Chi,Videoguard
CCTV 6,ChinaSat 6E,,4100 V,DVB-S,27500,4-Mar,AVS+HD,Chi,Tongfang
CCTV 6,SES 9,NE Asia0,10981 H,DVB-S2QPSK,45000,4-Mar,HEVC,Chi,Wyplay
CCTV 6,ChinaSat 9,Ku0,11860 R,ABS-S,30000,5-Apr,HD,Chi,Videoguard
CCTV 6,ChinaSat 9,Ku0,12100 R,ABS-S,28800,4-Mar,,Chi,Videoguard
CCTV 6,NSS 12,Global34-36,4095 R,DVB-S2QPSK,30000,4-Mar,MPEG-4SD,Chi,PowerVu
CCTV 6,SES 5,Sub Saharan Africa0,12418 H,DVB-S2QPSK,27500,4-Mar,MPEG-4SD,Chi,Conax
CCTV 6,Astra 4A,Europe BSS0-47,12226 H,DVB-S2QPSK,31420,5-Apr,MPEG-4SD,Chi,PowerVu
CCTV 6,Anik F3,North America Ku0,11789 L,DVB-S,20000,4-Mar,MPEG-4SD,Chi,Nagravision
News 24,SES 7,South Asia0,11600 V,DVB-S28PSK,30000,4-Mar,MPEG-4SD,,IrdetoVideoguard
News 24,G-Sat 15,India,11090 V,DVB-S,29500,4-Mar,MPEG-2SD,,
News 24,G-Sat 30,C,4133 H,DVB-S28PSK,11888,4-Mar,MPEG-4SD,,
Pear TV,G-Sat 15,India,11510 V,DVB-S,29500,4-Mar,MPEG-2SD,Tam,
CHC Action Movies,LaoSat 1,Ku0,10910 H,DVB-S2QPSK,45000,5-Apr,MPEG-4HD,Chi,StreamGuardTopwellUnitend
CHC Action Movies,ChinaSat 6E,,3780 V,DVB-S28PSK,32300,4-Mar,AVS+HD,Chi,Tongfang
Raapchik,G-Sat 15,India,11090 V,DVB-S,29500,4-Mar,MPEG-2SD,Hin,
Raapchik,G-Sat 24,,11960 V,DVB-S28PSK,34280,5-Mar,MPEG-4SD,Hin,IrdetoVideoguard
Raapchik,G-Sat 30,C,4054 H,DVB-S28PSK,17000,6-May,MPEG-4SD,Hin,
Flash TV,ChinaSat 6E,,3780 V,DVB-S28PSK,32300,4-Mar,MPEG-2SD,Chi,Tongfang
Zee Action,Bangabandhu 1,Beam 1,11265 V,DVB-S28PSK,30000,3-Feb,MPEG-4SD,Hin,Irdeto
Zee Action,SES 7,South Asia0,11640 H,DVB-S28PSK,24000,4-Mar,MPEG-4SD,Hin,IrdetoVideoguard
